weight,age,height,size
127.87,36,5.33,XL
154.32,50,5.58,XL
138.89,55,5.58,XL
123.46,29,5.33,S
134.48,46,5.58,XL
119.05,33,5.08,M
127.87,29,5.50,S
174.16,29,5.58,XXXL
114.64,25,5.33,XXS
134.48,39,5.58,XL
202.83,30,5.50,XXXL
198.42,37,5.50,XL
125.66,24,5.17,L
127.87,48,5.08,M
119.05,26,5.17,S
119.05,38,5.25,XL
114.64,27,5.17,S
134.48,38,5.08,XXXL
134.48,24,5.75,L
125.66,34,5.67,S
123.46,30,5.08,M
149.91,32,5.67,L
114.64,32,5.42,XXS
105.82,28,5.25,S
158.73,43,5.42,XXXL
138.89,25,5.58,M
138.89,33,5.33,L
149.91,52,5.25,XXXL
149.91,31,5.67,L
105.82,28,5.42,M
125.66,38,5.33,L
169.76,50,5.25,XXXL
123.46,32,5.08,M
143.30,32,5.33,M
169.76,34,5.75,XL
127.87,48,5.42,XL
138.89,35,5.42,XL
127.87,18,5.92,M
112.44,28,5.25,XXS
213.85,31,5.42,XXXL
138.89,34,5.92,M
143.30,42,5.67,XL
163.14,37,5.25,XXXL
125.66,32,5.50,S
196.21,33,5.42,XXXL
149.91,25,5.08,XXXL
136.69,32,5.42,M
123.46,38,5.33,M
134.48,31,5.33,L
127.87,46,5.50,M
134.48,28,5.33,L
112.44,35,5.25,S
149.91,29,5.25,XXXL
138.89,29,5.33,L
163.14,41,5.42,XXXL
158.73,33,5.50,L
114.64,28,5.25,XXS
134.48,27,5.58,M
127.87,49,5.50,L
119.05,36,5.25,L
134.48,28,5.33,M
167.55,31,6.00,XL
149.91,34,5.67,XL
138.89,29,5.83,S
134.48,30,5.67,S
116.84,29,5.92,M
134.48,30,5.50,L
114.64,28,5.08,XXS
127.87,39,5.58,S
138.89,37,5.83,S
119.05,31,5.42,M
123.46,33,5.58,S
134.48,36,5.33,XL
134.48,30,5.75,L
134.48,34,5.83,M
163.14,30,5.67,XL
143.30,30,5.67,L
158.73,31,5.42,XXXL
149.91,29,5.25,XL
123.46,23,5.50,M
138.89,35,5.75,M
158.73,47,5.25,XL
238.10,28,5.33,XXXL
136.69,31,5.58,S
114.64,28,5.25,XXS
134.48,47,5.25,M
194.01,30,5.92,XXXL
158.73,28,5.42,XXXL
138.89,38,5.42,M
182.98,47,5.17,XXXL
114.64,31,5.67,S
127.87,32,5.42,M
143.30,35,5.67,XL
134.48,32,5.67,M
134.48,29,5.58,M
154.32,29,5.25,XXXL
127.87,32,5.42,M
134.48,29,5.25,XL
127.87,34,5.75,S
134.48,31,5.33,M
112.44,25,5.33,XXS
112.44,38,5.25,S
143.30,29,5.50,M
134.48,23,5.17,M
119.05,30,5.42,M
123.46,32,5.75,S
136.69,28,5.08,L
123.46,32,5.17,M
127.87,33,5.50,S
136.69,26,5.75,M
158.73,35,5.75,XXXL
125.66,30,5.58,M
174.16,39,5.67,XXXL
123.46,36,5.67,S
127.87,36,5.17,S
134.48,19,0.00,S
143.30,30,5.58,M
163.14,29,5.75,XL
149.91,23,5.58,M
123.46,47,5.42,M
112.44,32,5.33,XXS
110.23,27,5.33,XXS
127.87,52,5.50,M
154.32,34,5.25,XL
143.30,29,5.67,XXXL
123.46,32,5.50,S
114.64,59,5.58,S
123.46,28,5.33,M
130.07,39,5.25,L
121.25,53,5.58,M
165.35,30,6.00,L
127.87,46,5.17,XL
136.69,33,5.75,M
119.05,32,5.50,S
158.73,36,5.67,XL
174.16,35,5.83,XXXL
134.48,27,5.17,L
125.66,31,5.25,L
123.46,28,5.33,M
108.03,34,5.33,XXS
119.05,22,5.42,M
154.32,30,5.50,XXXL
132.28,41,5.25,M
123.46,41,5.33,M
132.28,38,5.50,L
149.91,31,5.67,XXXL
114.64,25,5.33,S
138.89,40,5.58,XXXL
127.87,33,5.58,M
154.32,49,5.92,XXXL
138.89,36,5.75,L
149.91,30,5.33,XXXL
134.48,26,5.17,L
194.01,30,5.92,XXXL
123.46,32,5.42,M
123.46,36,5.42,S
176.37,35,5.33,XXXL
165.35,29,5.33,XL
123.46,35,5.33,M
174.16,25,5.83,XXXL
138.89,33,5.58,M
134.48,42,5.58,XL
134.48,29,5.50,M
125.66,54,5.25,M
123.46,29,5.33,L
123.46,32,5.17,M
127.87,31,5.42,XXS
174.16,36,5.58,XXXL
134.48,34,5.50,S
178.57,27,5.67,XXXL
127.87,29,5.58,S
130.07,40,5.25,M
127.87,37,5.50,M
105.82,32,5.00,XXS
158.73,28,5.75,M
141.10,23,5.75,M
103.62,34,5.08,XXS
189.60,29,5.75,XXXL
114.64,29,5.17,M
119.05,31,5.25,S
149.91,30,5.00,XL
130.07,31,5.67,M
123.46,27,5.67,S
127.87,30,5.75,S
114.64,38,5.50,S
134.48,25,5.58,S
123.46,44,5.25,XL
123.46,32,5.58,S
123.46,26,5.42,M
149.91,38,5.17,L
123.46,35,5.50,S
149.91,31,5.50,XL
174.16,38,5.33,XXXL
136.69,32,5.75,M
119.05,35,5.17,S
134.48,39,5.75,M
134.48,33,5.33,M
134.48,33,5.50,L
138.89,32,5.00,XL
149.91,31,5.75,XXXL
132.28,19,5.92,L
114.64,29,5.17,XXS
127.87,27,5.58,M
143.30,35,5.33,M
178.57,50,5.33,M
132.28,33,5.50,M
114.64,28,5.42,XXS
127.87,34,5.42,S
119.05,30,5.33,M
134.48,33,5.58,M
110.23,20,5.42,XXS
114.64,29,5.08,S
127.87,40,5.25,XL
143.30,30,5.92,M
138.89,29,6.00,L
134.48,33,5.67,M
123.46,36,0.00,S
116.84,27,5.50,XXS
143.30,31,5.50,XXXL
163.14,40,5.50,XXXL
116.84,44,5.50,M
163.14,29,5.58,XXXL
119.05,35,5.42,S
127.87,30,5.00,L
112.44,36,5.42,XXS
138.89,26,5.75,M
112.44,68,5.42,M
171.96,51,6.17,XXXL
99.21,32,5.08,S
123.46,30,5.33,M
127.87,33,5.17,M
123.46,31,5.25,S
119.05,22,5.42,S
127.87,24,5.17,M
158.73,35,5.50,XXXL
149.91,37,5.50,XXXL
134.48,42,5.33,XL
119.05,34,5.33,L
143.30,39,5.33,XL
121.25,37,5.42,M
119.05,27,5.33,S
127.87,31,5.33,L
154.32,27,5.58,L
149.91,26,5.50,XXXL
143.30,42,5.33,L
130.07,36,5.50,M
134.48,39,5.33,M
169.76,31,5.42,XXXL
147.71,29,5.75,L
134.48,25,5.33,M
143.30,35,5.33,M
152.12,50,5.50,M
249.12,33,5.25,XXXL
138.89,35,5.50,L
114.64,29,5.75,M
123.46,31,5.25,M
123.46,37,5.25,M
143.30,34,5.67,L
138.89,33,5.58,M
121.25,27,5.17,M
123.46,34,5.25,M
114.64,44,5.50,S
149.91,33,5.58,XL
123.46,31,5.58,S
149.91,29,5.75,M
127.87,25,5.50,XL
121.25,26,5.58,M
127.87,32,5.58,M
143.30,27,5.67,L
149.91,42,5.58,XL
134.48,27,5.33,M
158.73,27,5.67,XXXL
209.44,59,5.58,XXXL
127.87,34,5.42,M
127.87,25,5.42,M
119.05,36,5.42,S
136.69,39,5.17,L
138.89,33,5.67,XXXL
125.66,34,5.33,M
134.48,33,5.17,M
132.28,30,5.33,XL
138.89,40,5.50,XL
134.48,42,5.33,XL
224.87,42,5.58,XXXL
158.73,41,5.58,XL
134.48,31,5.42,M
158.73,29,5.42,XXXL
134.48,34,5.83,M
105.82,28,5.08,XXS
119.05,40,5.08,S
121.25,35,5.50,M
138.89,24,5.58,XL
127.87,28,5.42,M
127.87,29,5.17,M
127.87,32,5.67,S
163.14,36,5.33,M
163.14,38,5.58,XL
119.05,38,5.33,S
163.14,33,5.58,XXXL
149.91,38,5.42,XL
108.03,32,5.25,XXS
158.73,30,5.50,XXXL
138.89,44,5.67,XL
134.48,30,5.33,L
114.64,49,5.08,S
94.80,40,5.08,XXS
138.89,42,5.42,S
127.87,29,5.50,M
114.64,25,5.33,XXS
99.21,28,4.92,XXS
143.30,39,5.17,XL
132.28,31,5.58,M
138.89,33,5.50,L
138.89,49,5.25,L
112.44,32,5.33,S
147.71,29,5.58,XL
138.89,45,5.67,XL
238.10,34,6.08,XXXL
134.48,25,5.67,M
127.87,37,5.42,M
123.46,26,5.25,M
143.30,47,5.75,XL
138.89,37,5.67,M
123.46,26,5.33,M
158.73,33,5.25,XXXL
119.05,27,5.58,S
169.76,31,5.25,XXXL
127.87,38,5.42,M
178.57,29,5.08,XXXL
143.30,26,5.67,M
143.30,32,5.75,M
138.89,42,5.58,M
158.73,56,5.58,XL
127.87,25,5.50,M
121.25,26,5.58,M
143.30,47,5.58,XL
176.37,39,5.83,XXXL
127.87,36,5.58,M
110.23,31,5.25,XXS
163.14,37,5.42,XXXL
158.73,30,5.58,XL
136.69,37,5.67,XXXL
163.14,29,5.75,XXXL
169.76,48,5.92,XXXL
134.48,26,5.50,M
112.44,30,5.17,S
141.10,55,5.50,XL
127.87,29,5.50,M
143.30,30,5.42,XL
127.87,29,5.42,M
134.48,34,5.58,L
108.03,34,5.17,S
143.30,32,5.67,M
143.30,44,5.33,XL
123.46,35,5.33,S
138.89,43,5.25,L
134.48,29,5.33,M
138.89,37,5.25,XL
138.89,31,5.67,L
119.05,34,5.33,XL
127.87,25,5.33,M
94.80,29,5.00,S
123.46,43,5.25,M
143.30,41,5.25,XL
158.73,28,5.58,XL
169.76,33,5.58,XXXL
112.44,29,5.17,M
143.30,29,5.50,L
134.48,35,5.33,L
134.48,38,5.75,L
119.05,34,5.25,S
123.46,30,5.33,S
182.98,37,5.58,XXXL
123.46,42,5.25,L
174.16,29,5.67,XXXL
134.48,49,5.50,XL
123.46,20,5.25,M
134.48,32,5.42,M
154.32,35,5.58,XXXL
127.87,18,5.42,S
136.69,32,5.50,M
110.23,32,5.25,L
121.25,29,5.17,M
163.14,24,5.25,XXXL
103.62,31,5.25,XXS
119.05,32,5.08,M
127.87,26,5.50,M
114.64,33,5.17,XXS
114.64,27,5.50,L
158.73,27,5.33,XXXL
108.03,25,5.17,S
169.76,28,5.67,XXXL
143.30,24,5.92,M
116.84,34,5.25,XXS
110.23,53,5.17,S
110.23,27,5.58,S
108.03,32,5.17,M
273.37,27,5.67,XXXL
94.80,32,5.08,XXS
134.48,63,5.58,XL
123.46,29,5.67,S
127.87,35,5.42,L
132.28,31,5.25,M
134.48,37,5.58,L
119.05,34,5.33,M
141.10,27,5.42,M
134.48,34,5.58,L
119.05,31,5.50,L
132.28,26,5.67,M
121.25,32,5.17,S
138.89,26,5.33,L
108.03,20,5.25,XXS
138.89,32,5.33,L
134.48,48,5.67,M
138.89,42,5.75,L
123.46,33,5.67,S
119.05,29,5.08,XXS
149.91,30,5.17,XXXL
143.30,26,5.25,L
127.87,26,5.83,M
119.05,30,5.33,S
138.89,29,5.50,XL
134.48,39,4.92,XL
127.87,37,5.67,L
154.32,31,5.42,XL
121.25,31,5.42,M
158.73,28,5.58,XXXL
134.48,43,5.67,XL
158.73,21,5.25,XXXL
112.44,31,5.00,L
112.44,34,5.33,M
127.87,38,5.50,M
112.44,34,5.17,S
103.62,31,5.00,S
134.48,27,5.58,M
123.46,47,5.42,M
143.30,29,5.58,S
125.66,32,5.25,S
123.46,29,5.42,M
127.87,55,5.33,XL
123.46,33,5.25,S
110.23,42,5.33,S
116.84,32,5.25,S
127.87,31,5.50,M
99.21,35,5.08,XXS
108.03,47,4.83,M
149.91,29,5.75,L
138.89,29,5.33,L
127.87,29,5.25,L
103.62,34,5.08,S
103.62,29,4.92,XXS
108.03,29,5.25,S
119.05,33,5.17,S
127.87,34,5.42,S
119.05,38,5.25,M
125.66,37,5.25,M
147.71,38,5.50,XL
132.28,27,5.42,L
163.14,38,5.50,XL
116.84,41,5.42,S
143.30,31,5.25,XL
134.48,45,5.67,M
121.25,23,5.33,M
169.76,43,5.67,XXXL
158.73,31,5.83,XXXL
143.30,43,5.75,XL
169.76,35,5.50,XXXL
138.89,21,5.58,M
163.14,34,5.25,XXXL
169.76,31,5.58,XXXL
127.87,42,5.42,S
149.91,52,5.50,XXXL
138.89,36,5.17,XXXL
134.48,30,5.67,M
141.10,40,5.42,L
123.46,29,5.67,M
119.05,30,5.25,S
134.48,28,5.25,L
114.64,30,5.08,S
147.71,55,5.83,L
136.69,36,5.08,XL
127.87,30,5.58,M
132.28,32,5.58,XXXL
112.44,25,5.33,XXS
189.60,30,5.75,XXXL
134.48,24,5.50,M
125.66,32,5.58,L
134.48,39,5.33,XL
134.48,38,5.50,S
147.71,27,5.33,L
119.05,38,5.33,S
127.87,32,5.33,XXS
116.84,34,5.17,M
158.73,37,5.58,XXXL
149.91,52,5.83,XL
108.03,33,5.00,M
127.87,35,5.58,M
127.87,29,5.42,L
169.76,47,5.42,XXXL
134.48,37,5.58,L
114.64,35,5.08,S
119.05,27,5.33,S
178.57,36,5.33,XXXL
158.73,34,5.42,XXXL
138.89,25,5.67,XL
149.91,38,5.75,L
134.48,33,5.83,XL
127.87,32,5.33,M
143.30,20,5.42,XXXL
103.62,33,5.08,XXS
134.48,46,5.17,M
123.46,35,5.25,M
127.87,44,5.67,S
119.05,32,5.33,M
121.25,30,5.25,M
114.64,30,5.58,S
169.76,25,5.58,XXXL
123.46,31,5.50,M
138.89,26,5.67,M
99.21,27,5.17,XXS
127.87,25,4.92,S
134.48,29,5.42,M
105.82,29,5.33,XXS
114.64,33,5.33,M
123.46,34,5.33,M
198.42,61,5.58,XXXL
127.87,44,5.25,XL
127.87,0,5.67,L
158.73,31,5.75,L
154.32,40,5.25,XXXL
158.73,25,5.42,XL
116.84,31,4.92,S
112.44,25,5.33,XXS
255.74,36,5.58,XXXL
134.48,33,5.25,L
154.32,36,5.58,XXXL
138.89,27,5.83,M
110.23,30,5.17,S
119.05,30,5.25,M
127.87,36,5.17,L
149.91,28,5.58,L
94.80,30,5.17,XXS
158.73,31,6.08,XL
119.05,21,5.50,XXS
149.91,44,5.67,XL
145.50,44,5.67,XL
134.48,34,5.83,M
121.25,28,5.50,M
103.62,38,5.08,XXS
138.89,29,5.33,M
145.50,55,5.58,XXXL
112.44,34,5.17,S
143.30,63,5.50,XL
158.73,34,5.50,XL
149.91,30,5.75,M
145.50,34,5.33,XL
141.10,25,5.75,L
123.46,34,5.58,S
138.89,34,5.83,M
127.87,47,5.83,M
154.32,38,5.17,XXXL
149.91,49,5.00,L
114.64,33,5.33,XXS
127.87,58,5.50,XL
154.32,34,5.33,XL
112.44,30,5.42,M
132.28,29,5.75,XL
141.10,58,5.42,XL
134.48,43,5.25,XL
149.91,31,5.58,XL
123.46,29,5.75,S
123.46,31,5.25,M
116.84,33,5.42,S
249.12,31,5.25,XXXL
134.48,58,5.83,L
123.46,38,5.17,M
123.46,39,5.42,S
141.10,30,5.67,XL
108.03,28,5.08,S
154.32,38,5.33,XXXL
127.87,36,5.50,M
138.89,35,5.00,XXXL
202.83,29,5.33,XXXL
119.05,32,5.08,S
123.46,32,5.50,M
143.30,33,5.50,M
143.30,26,5.92,L
138.89,39,5.33,XL
116.84,21,5.08,S
110.23,32,5.42,XXS
174.16,33,5.42,XXXL
114.64,33,5.08,S
158.73,26,5.50,XXXL
138.89,41,5.50,XL
169.76,35,5.33,XXXL
114.64,30,5.25,S
119.05,32,5.33,S
108.03,28,5.58,S
134.48,39,5.33,XL
163.14,30,5.33,XXXL
138.89,33,5.25,XXXL
123.46,32,5.25,M
119.05,29,5.25,S
123.46,44,5.25,L
218.26,33,6.00,XXXL
143.30,54,5.33,XXXL
121.25,32,5.42,S
154.32,30,5.67,XXXL
123.46,31,5.42,M
213.85,36,5.92,XXXL
127.87,29,5.33,M
121.25,42,5.17,M
198.42,30,5.83,XXXL
163.14,32,5.33,XL
143.30,39,5.42,XXXL
143.30,51,5.75,M
138.89,29,5.33,XL
138.89,32,5.25,L
174.16,29,6.00,XXXL
123.46,26,5.33,S
127.87,32,5.67,M
134.48,38,5.58,M
156.53,34,5.42,XXXL
119.05,22,5.25,S
110.23,32,5.25,S
130.07,32,5.42,S
134.48,32,5.50,L
138.89,36,5.50,XXXL
145.50,52,5.58,XL
127.87,31,5.25,M
134.48,30,5.58,M
249.12,40,5.58,XXXL
123.46,25,5.58,S
149.91,29,5.33,XL
119.05,35,5.58,S
174.16,35,5.17,XXXL
123.46,34,5.25,M
101.41,30,5.08,XXS
202.83,40,5.50,XXXL
119.05,32,5.08,S
99.21,38,5.33,XXS
138.89,26,5.83,M
154.32,41,5.33,XXXL
167.55,26,5.50,XXXL
119.05,31,5.42,M
163.14,32,5.08,XXXL
149.91,31,5.33,XL
114.64,30,5.33,XXS
121.25,26,5.58,XXS
127.87,42,5.75,M
158.73,31,5.50,XXXL
138.89,30,5.25,L
127.87,36,5.33,M
123.46,42,5.33,S
141.10,53,5.17,XL
127.87,35,5.25,XL
121.25,27,5.17,M
163.14,37,5.83,XXXL
127.87,31,5.50,S
143.30,27,5.75,XL
119.05,31,5.58,XXS
154.32,29,5.42,XXXL
134.48,34,5.08,L
158.73,32,5.17,XXXL
108.03,22,5.50,XXS
163.14,22,5.92,XL
116.84,26,5.33,M
149.91,40,5.42,XL
136.69,41,5.42,M
138.89,31,5.58,XL
134.48,31,5.75,M
103.62,28,5.08,XXS
132.28,35,5.42,S
123.46,31,5.67,M
119.05,24,5.50,XL
138.89,33,5.75,L
143.30,39,5.83,L
138.89,34,5.83,S
138.89,37,5.50,L
154.32,33,5.75,XL
127.87,32,5.58,M
154.32,36,5.33,XXXL
132.28,40,5.25,L
123.46,37,5.42,S
143.30,29,5.50,L
119.05,32,5.42,S
143.30,28,5.42,L
149.91,37,5.58,XL
149.91,30,5.50,L
123.46,31,5.17,XL
158.73,31,5.50,XL
218.26,45,5.25,XXXL
127.87,25,5.67,S
158.73,35,5.67,XL
134.48,30,5.67,L
116.84,41,5.33,XXS
149.91,40,5.33,XXXL
141.10,54,5.58,XL
123.46,31,5.33,S
114.64,23,5.25,S
119.05,41,5.25,M
127.87,55,5.33,XL
138.89,35,5.25,XXXL
103.62,27,5.17,XXS
132.28,22,5.67,M
127.87,32,5.67,M
134.48,30,5.75,M
149.91,28,5.00,L
138.89,46,5.50,XL
149.91,25,5.67,XL
134.48,32,5.50,L
149.91,23,5.75,XL
123.46,30,5.42,S
158.73,27,5.58,XL
143.30,30,5.58,L
103.62,25,5.33,S
114.64,30,5.25,M
130.07,40,5.25,XL
127.87,29,5.17,S
143.30,26,5.25,XL
136.69,37,5.75,M
141.10,30,5.08,M
158.73,55,5.50,XXXL
119.05,38,5.42,S
141.10,38,5.42,L
145.50,32,5.42,L
112.44,29,5.33,M
121.25,36,5.33,L
116.84,19,5.33,M
114.64,31,5.33,XXS
163.14,42,5.58,XL
138.89,40,5.42,XL
154.32,35,5.67,XL
158.73,30,5.83,S
132.28,20,5.67,S
121.25,45,5.67,M
119.05,31,5.25,M
127.87,32,5.17,XL
116.84,31,5.67,S
114.64,29,5.25,S
108.03,26,5.25,S
123.46,39,5.75,S
134.48,32,5.67,S
105.82,31,5.42,S
114.64,31,4.92,S
123.46,32,5.25,L
138.89,31,5.58,L
127.87,41,5.42,L
127.87,38,5.67,S
114.64,31,5.50,S
154.32,34,5.67,XXXL
149.91,33,5.50,XL
108.03,32,5.17,XXS
138.89,30,5.42,L
134.48,34,4.92,XL
163.14,30,5.58,XXXL
119.05,23,5.58,S
138.89,26,5.67,L
112.44,28,5.08,XXS
103.62,33,5.33,XXS
136.69,39,5.17,XXXL
143.30,31,5.83,M
123.46,53,5.33,M
121.25,30,5.50,XXS
127.87,26,5.58,L
127.87,29,5.58,M
154.32,40,5.75,XXXL
114.64,26,5.58,XXS
119.05,35,5.42,XXS
127.87,27,5.25,M
116.84,28,5.25,M
149.91,38,5.25,XL
134.48,30,5.50,L
138.89,32,5.75,M
178.57,55,5.08,XXXL
108.03,20,5.75,S
169.76,51,5.67,XXXL
158.73,24,5.83,XXXL
114.64,32,5.25,S
149.91,41,5.67,XL
108.03,45,5.17,S
134.48,31,5.58,L
154.32,48,5.33,XXXL
114.64,30,5.25,S
134.48,30,5.33,M
202.83,25,5.75,XXXL
108.03,39,5.50,S
130.07,47,5.50,M
123.46,23,5.75,S
123.46,48,5.50,S
127.87,33,5.25,M
134.48,30,5.33,XL
156.53,29,5.50,XL
138.89,34,5.25,XL
163.14,31,5.50,XXXL
134.48,34,5.33,XL
134.48,32,5.67,M
108.03,28,5.50,XXS
123.46,34,5.33,XXXL
125.66,53,5.58,M
149.91,32,5.17,XL
158.73,28,5.83,XXXL
138.89,51,5.58,L
123.46,36,5.08,M
138.89,37,5.50,M
149.91,26,5.75,XL
127.87,37,5.25,XXXL
123.46,31,5.25,S
123.46,36,5.25,M
123.46,27,5.50,M
119.05,23,5.33,M
147.71,27,5.58,XL
108.03,28,5.17,XXS
127.87,22,5.67,S
114.64,26,5.42,S
108.03,32,5.17,S
103.62,25,5.17,S
134.48,40,5.17,XL
149.91,44,5.58,XXXL
121.25,42,5.00,S
119.05,21,5.33,S
134.48,29,5.75,M
125.66,29,5.58,M
158.73,47,5.67,XXXL
158.73,33,5.83,XL
141.10,21,5.42,L
158.73,30,5.17,XXXL
123.46,25,5.33,M
160.94,38,5.42,XL
119.05,25,5.42,S
149.91,27,5.75,L
134.48,44,5.25,XXXL
119.05,21,5.33,M
123.46,42,5.33,M
134.48,38,5.50,L
134.48,44,5.42,M
143.30,46,5.83,XXXL
114.64,21,5.50,XXS
119.05,31,5.33,M
127.87,32,5.67,M
149.91,31,5.75,XXXL
171.96,35,5.33,XXXL
134.48,22,5.75,M
154.32,28,5.50,XL
119.05,31,5.33,M
127.87,24,5.58,S
123.46,47,5.25,L
143.30,39,5.42,XL
127.87,27,5.17,XL
110.23,57,5.08,L
108.03,28,5.25,S
163.14,40,5.58,XXXL
123.46,28,5.42,M
127.87,26,5.25,S
119.05,27,5.08,S
127.87,33,5.25,M
103.62,27,5.25,XXS
114.64,30,5.17,XXS
134.48,35,5.75,M
108.03,25,5.08,M
134.48,44,5.58,XL
114.64,31,5.25,S
112.44,25,5.17,XXS
119.05,47,5.00,M
127.87,31,5.25,M
158.73,42,5.50,XXXL
125.66,34,5.83,L
134.48,31,5.58,M
127.87,38,5.25,L
123.46,43,5.25,M
125.66,45,5.67,M
108.03,26,5.42,S
134.48,32,5.67,M
154.32,32,5.58,L
123.46,49,5.58,M
125.66,25,5.33,XL
134.48,32,5.33,M
123.46,29,5.33,S
149.91,35,5.83,XL
143.30,44,5.50,XL
123.46,29,5.42,M
138.89,44,5.25,XL
136.69,37,5.67,XXXL
165.35,40,5.58,XXXL
108.03,36,5.08,S
171.96,59,5.58,XXXL
149.91,30,5.75,XL
141.10,43,5.50,M
154.32,29,5.17,XL
149.91,21,5.83,L
141.10,34,5.08,XL
138.89,52,5.50,M
121.25,26,5.58,S
127.87,33,5.50,M
138.89,32,5.42,M
127.87,29,5.42,M
121.25,26,5.50,S
132.28,30,5.50,L
130.07,39,5.25,L
108.03,26,5.50,M
138.89,30,5.58,M
114.64,29,5.42,S
158.73,41,5.33,XXXL
127.87,32,5.50,L
149.91,32,5.25,XL
125.66,32,5.58,M
169.76,34,5.58,XXXL
169.76,31,5.50,XXXL
156.53,59,5.42,XXXL
127.87,41,5.42,M
112.44,49,5.33,XXS
158.73,31,6.08,XXXL
99.21,31,5.08,XXS
105.82,25,5.33,XXS
149.91,49,5.00,XXL
136.69,34,5.42,L
138.89,24,5.33,M
119.05,28,5.25,S
123.46,34,5.42,S
127.87,40,5.58,M
127.87,30,5.42,M
116.84,30,5.42,XL
134.48,54,5.58,M
108.03,27,5.42,M
163.14,40,5.17,XXXL
138.89,31,5.58,M
127.87,31,5.42,M
116.84,45,5.42,M
132.28,56,5.58,L
123.46,32,5.50,S
182.98,23,5.75,XL
114.64,28,5.17,XXS
114.64,40,5.25,XXS
134.48,35,5.75,M
105.82,57,5.17,S
138.89,38,5.33,L
116.84,35,5.25,M
116.84,28,5.25,S
143.30,31,5.92,L
165.35,29,5.33,M
110.23,32,5.33,M
149.91,32,5.25,XXXL
134.48,25,5.33,M
105.82,50,5.33,XXS
138.89,26,5.33,XL
163.14,29,5.67,XXXL
121.25,26,5.58,XXS
149.91,36,5.58,XXXL
138.89,24,4.92,XXXL
145.50,51,5.58,XL
123.46,39,5.08,M
119.05,32,5.33,S
136.69,47,5.58,M
123.46,35,5.42,S
136.69,32,5.58,M
154.32,27,5.75,L
138.89,49,5.58,XL
112.44,54,5.50,XXS
138.89,38,5.17,XL
138.89,35,5.67,XL
134.48,30,5.58,XL
119.05,42,5.08,M
178.57,31,5.33,XXXL
123.46,34,5.42,XXS
134.48,27,5.33,M
198.42,27,5.83,XXXL
138.89,31,5.50,M
127.87,32,5.50,S
147.71,33,5.75,XL
169.76,42,5.67,XXXL
138.89,31,5.50,M
134.48,35,5.67,M
138.89,29,5.42,M
143.30,48,5.50,XXXL
154.32,54,5.25,XL
134.48,30,5.17,L
132.28,30,5.17,XL
123.46,35,5.33,XXXL
152.12,31,5.33,XXXL
114.64,31,5.33,S
119.05,31,5.33,S
143.30,32,5.67,L
138.89,26,5.67,XL
119.05,21,5.50,S
101.41,28,5.08,S
134.48,21,5.67,L
134.48,33,5.58,M
138.89,28,5.58,XL
127.87,31,5.25,S
134.48,33,5.50,L
143.30,45,5.25,M
116.84,54,5.58,S
127.87,40,5.42,L
114.64,30,5.25,M
134.48,34,5.50,M
114.64,34,5.00,XXS
114.64,32,5.42,L
119.05,43,5.25,S
127.87,39,5.42,XL
134.48,36,5.25,L
143.30,42,5.50,XXXL
134.48,45,5.25,L
114.64,31,5.33,XXS
123.46,36,5.50,XXXL
105.82,37,5.25,XXS
108.03,20,5.17,S
119.05,29,5.25,S
123.46,48,5.58,M
134.48,31,5.58,M
138.89,37,5.25,M
123.46,17,5.58,M
134.48,34,5.42,M
136.69,46,5.25,M
127.87,29,5.58,L
114.64,32,5.17,XXS
174.16,33,5.75,XL
134.48,37,5.42,L
103.62,30,5.33,S
127.87,46,5.50,M
123.46,33,5.17,M
123.46,28,5.17,S
138.89,38,5.33,XL
134.48,25,5.42,M
134.48,44,5.58,L
171.96,65,5.50,XXXL
116.84,27,5.33,XXS
123.46,47,5.75,L
134.48,29,5.25,L
110.23,19,5.33,XXS
116.84,30,5.17,XXS
138.89,37,5.00,M
132.28,34,6.00,S
119.05,32,5.25,XXS
114.64,25,5.25,S
101.41,45,5.25,XXS
119.05,36,5.33,M
119.05,39,5.17,M
105.82,28,5.33,XXS
127.87,30,5.42,L
163.14,42,5.25,XXXL
105.82,21,5.67,XXS
127.87,30,5.42,M
134.48,36,5.58,M
119.05,34,5.58,L
149.91,28,5.67,XL
158.73,35,5.33,XL
154.32,35,5.58,XXXL
154.32,32,5.67,XL
136.69,25,5.17,XXXL
158.73,28,5.42,XXXL
138.89,28,5.00,XXXL
127.87,32,5.67,S
127.87,,5.00,M
158.73,23,5.75,XXXL
134.48,42,5.33,M
136.69,38,5.08,L
114.64,50,5.25,S
134.48,33,5.50,L
127.87,34,5.58,M
158.73,24,5.42,L
127.87,52,5.17,XL
147.71,32,5.83,L
114.64,28,5.33,S
134.48,59,5.58,XL
143.30,36,5.67,XL
158.73,30,5.58,XL
138.89,26,5.83,L
169.76,36,5.50,XXXL
134.48,33,5.58,XL
123.46,29,5.75,L
138.89,30,5.67,M
143.30,39,5.92,L
123.46,37,5.75,S
127.87,33,5.58,XL
123.46,41,5.17,XXS
182.98,33,5.25,XXXL
132.28,27,5.33,M
112.44,25,5.33,XXS
134.48,46,5.67,M
189.60,26,5.83,XL
116.84,36,5.17,S
114.64,30,5.25,XXS
154.32,0,5.25,XXXL
116.84,48,5.33,M
127.87,31,5.33,M
149.91,29,5.00,XL
134.48,34,5.17,L
127.87,24,5.58,S
119.05,26,5.67,XXS
105.82,34,5.17,S
127.87,32,5.17,M
163.14,27,6.00,XL
